"Field","block","trt","prev","yield"
"1","1.B1","A",8.2,287
"1","1.B1","B",8.2,271
"1","1.B1","C",6.8,234
"1","1.B1","D",5.7,189
"1","1.B1","E",6.1,210
"1","1.B1","S",7.6,222
"1","1.B2","A",9.4,290
"1","1.B2","B",6,209
"1","1.B2","C",7,210
"1","1.B2","D",5.5,205
"1","1.B2","E",7,276
"1","1.B2","S",10.1,301
"1","1.B3","A",7.7,254
"1","1.B3","B",9.1,243
"1","1.B3","C",9.7,286
"1","1.B3","D",10.2,312
"1","1.B3","E",8.7,279
"1","1.B3","S",9,238
"1","1.B4","A",8.5,307
"1","1.B4","B",10.1,348
"1","1.B4","C",9.9,371
"1","1.B4","D",10.3,375
"1","1.B4","E",8.1,344
"1","1.B4","S",10.5,357
"2","2.B1","A",9,306.232026967076
"2","2.B1","B",9.1,330.363019710496
"2","2.B1","C",6,208.048910384582
"2","2.B1","D",10.1,400.017453139041
"2","2.B1","E",7,239.641068417785
"2","2.B1","S",8.1,261.186024265952
"2","2.B2","A",10.3,337.786562545163
"2","2.B2","B",8.2,308.618393700547
"2","2.B2","C",6.1,229.210031259608
"2","2.B2","D",7.6,306.666764757549
"2","2.B2","E",7,275.127594421865
"2","2.B2","S",9.9,289.036576709258
"2","2.B3","A",10.1,297.805412077113
"2","2.B3","B",8.2,295.373128579043
"2","2.B3","C",8.5,233.397595490505
"2","2.B3","D",7.7,272.649467926547
"2","2.B3","E",6.8,224.046060961535
"2","2.B3","S",10.5,255.322614304515
"2","2.B4","A",5.7,375.839032605074
"2","2.B4","B",10.2,417.990227443526
"2","2.B4","C",9.7,388.044461210597
"2","2.B4","D",9.4,405.084908348492
"2","2.B4","E",8.7,349.681484878582
"2","2.B4","S",5.5,186.449417499351
"3","3.B1","A",10.3,243.475579842703
"3","3.B1","B",9.4,246.42046026798
"3","3.B1","C",6.1,156.360923315922
"3","3.B1","D",8.1,254.171446194834
"3","3.B1","E",10.1,372.255471961131
"3","3.B1","S",8.5,226.84527645436
"3","3.B2","A",6.8,306.663616733498
"3","3.B2","B",7.6,199.324366898625
"3","3.B2","C",8.2,247.023317711746
"3","3.B2","D",7.7,262.348802766944
"3","3.B2","E",5.7,194.407993255993
"3","3.B2","S",9.1,270.593740301938
"3","3.B3","A",9.7,267.689313322359
"3","3.B3","B",9,194.757999788688
"3","3.B3","C",9.9,259.6627675169
"3","3.B3","D",10.5,303.867414793461
"3","3.B3","E",8.2,237.093368314385
"3","3.B3","S",7,133.575259944419
"3","3.B4","A",8.7,358.777423153388
"3","3.B4","B",10.2,292.741944360688
"3","3.B4","C",6,215.901635643003
"3","3.B4","D",10.1,354.804883265312
"3","3.B4","E",5.5,194.576905733306
"3","3.B4","S",7,228.541707436372
